,Beast,Shirt,Neck,Hat,Eyes,Best_Friend,Nemesis,Strength,Speed,Endurance,Intelligence,Wisdom,Charisma,Class,Element,Habitat,Attribute_X,Attribute_Y,Attribute Z,D_4_6_8_10_12_20
3769,Brown Dog,Scarf and Sweater,,Halo,,#5589,#2593,9,8,17,14,13,13,Warrior,Air,Mountain,59,43,19,"1, 6, 8, 9, 4, 3"
3770,Siberian Tiger,,,Red Party Hat,,#4497,#3070,14,13,11,9,12,16,Warrior,Fire,Forest,46,44,6,"3, 6, 4, 6, 11, 6"
3771,Bear,Green Tee,,Top Hat,,#4093,#3207,14,14,13,15,13,13,Mage,Earth,Swamp,39,54,1,"4, 2, 6, 6, 5, 19"
3772,Brown Dog,Red Tee,,Blue Bow,,#5408,#4568,14,11,16,14,13,13,Thief,Earth,Plains,29,60,6,"3, 6, 3, 5, 4, 14"
3773,Purple Monkey,Puffy Jacket,,Ribbon,Eyepatch,#4008,#4698,13,12,14,17,12,11,Mage,Fire,Plains,75,44,15,"4, 6, 4, 8, 1, 10"
3774,Hippo,Blazer Tee,,Top Hat,,#4022,#1622,9,14,17,15,13,15,Mage,Earth,Mountain,36,43,2,"1, 5, 5, 2, 9, 11"
3775,Brown Dog,White Shirt,,Wizard Hat,,#6038,#3921,10,11,10,16,15,18,Thief,Air,Plains,96,28,1,"2, 2, 1, 9, 9, 1"
3776,Blue Cat,Flannel,,Blue Party Hat,,#5368,#7198,14,16,11,14,12,12,Warrior,Water,Mountain,69,48,9,"2, 3, 7, 8, 2, 9"
3777,Pink Bear,Suit,,Straw Hat,,#7211,#8191,13,17,9,11,17,13,Warrior,Water,Plains,27,52,9,"4, 2, 2, 4, 7, 7"
3778,Turtle,Blue Track Jacket,,Viking Helmet,,#1047,#0682,11,8,9,12,11,11,Mage,Earth,Forest,66,43,1,"2, 6, 3, 2, 4, 2"
3779,Brown Dog,,,Yellow Bow,,#1554,#2164,13,10,9,12,15,14,Thief,Fire,Mountain,81,52,11,"4, 3, 2, 4, 6, 9"
3780,Purple Cat,Red Track Jacket,,Brown Hat,Eyepatch,#3853,#8222,12,12,8,9,10,15,Warrior,Water,Plains,84,46,18,"4, 4, 5, 3, 10, 8"
3781,Snek,,,Yellow Bow,Eyepatch,#7171,#6837,14,14,11,6,13,17,Warrior,Water,Mountain,27,49,17,"1, 2, 3, 1, 8, 5"
3782,Deer,Overalls,,Brown Hat,,#7082,#8745,16,15,11,11,14,6,Warrior,Water,Swamp,24,35,1,"2, 5, 1, 3, 10, 12"
3783,Elephant,Blue Tank,,Pink Fairy Hat,,#4470,#5676,14,14,13,17,10,10,Warrior,Water,Forest,22,45,16,"2, 5, 5, 9, 4, 12"
3784,Monkey,Pink Dress,,Viking Helmet,,#5086,#8214,11,14,12,12,13,13,Mage,Water,Plains,31,34,21,"4, 5, 1, 1, 5, 16"
3785,Polar Bear,Red Track Jacket,,Yellow Bow,,#4102,#7245,13,13,17,13,12,15,Warrior,Air,Island,77,39,20,"4, 1, 3, 4, 2, 1"
3786,Golden Bear,White Tee,,Green Party Hat,Monocle,#7233,#3474,12,18,14,15,16,11,Thief,Fire,Forest,11,52,1,"1, 2, 7, 5, 3, 3"
3787,Turtle,,Bow Tie,Purple Top Hat,Eyepatch,#5752,#1862,13,16,15,10,12,17,Warrior,Fire,Mountain,44,46,13,"3, 6, 3, 2, 9, 15"
3788,Purple Monkey,Suit,,Chefs Hat,Green Hero Mask,#8006,#9348,17,12,13,15,10,14,Mage,Earth,Forest,74,57,1,"2, 1, 6, 6, 2, 20"
3789,Panda,Suit,,Brown Hat,,#4496,#3465,11,15,6,11,13,15,Warrior,Air,Forest,65,54,6,"1, 6, 2, 3, 11, 5"
3790,Green Cat,Blue Tank,Gold Chain,Chefs Hat,Eyepatch,#4547,#8321,10,13,16,5,9,13,Warrior,Air,Mountain,57,34,7,"3, 6, 7, 6, 5, 12"
3791,Tiger,Red Tank,,,,#6959,#6783,13,11,12,12,9,17,Warrior,Water,Island,73,45,9,"1, 5, 2, 9, 12, 19"
3792,Penguin,,,Yellow Bow,,#4502,#7350,9,11,11,16,12,16,Mage,Air,Island,83,55,7,"1, 1, 4, 5, 1, 19"
3793,Fox,Red Track Jacket,,Brown Hat,Laser Eyes,#6905,#3449,17,15,11,16,13,11,Warrior,Water,Swamp,52,54,20,"3, 3, 3, 8, 2, 2"
3794,Purple Dragon,Royal Coat,,Straw Hat,Eyepatch,#0222,#5471,13,15,12,9,15,12,Mage,Air,Island,32,44,22,"3, 1, 6, 8, 10, 19"
3795,Minotaur,Blue Tee,Gold Chain,Ribbon,,#9752,#9347,17,11,13,12,13,9,Thief,Earth,Swamp,80,51,7,"2, 4, 6, 7, 12, 14"
3796,Blue Cat,Suit,,,,#6374,#1456,10,11,10,7,13,13,Mage,Earth,Plains,13,28,12,"1, 1, 3, 5, 4, 4"
3797,Turtle,,,Viking Helmet,Purple Hero Mask,#9163,#1871,12,13,16,13,10,14,Warrior,Earth,Island,68,51,12,"1, 2, 3, 8, 11, 4"
3798,Turtle,,Gold Chain,Green Party Hat,,#1475,#2477,11,15,9,12,10,6,Warrior,Fire,Mountain,44,51,1,"2, 6, 1, 8, 7, 9"
3799,Purple Cat,Brown Jacket,,Straw Hat,,#1662,#8466,11,12,15,10,17,12,Thief,Earth,Island,35,48,1,"1, 5, 5, 4, 11, 13"
3800,Pig,,,,Pink Goggles,#9048,#6615,10,12,12,14,14,15,Warrior,Air,Mountain,93,38,11,"4, 6, 8, 6, 8, 6"
3801,Tiger,,,Green Party Hat,,#8702,#2631,7,12,8,15,12,16,Warrior,Fire,Swamp,27,62,18,"1, 3, 4, 7, 5, 5"
3802,Lion,Brown Jacket,,Top Hat,,#7396,#2271,14,14,15,11,11,5,Thief,Earth,Plains,60,61,25,"3, 1, 4, 4, 11, 9"
3803,Black Bear,Blue Tank,Bow Tie,Wizard Hat,,#4057,#9962,13,10,11,8,14,13,Warrior,Earth,Forest,8,65,4,"2, 6, 5, 3, 4, 11"
3804,Sheep,Red Track Jacket,,Halo and Wings,Pink Goggles,#6832,#7640,12,11,16,12,13,14,Thief,Air,Mountain,14,47,3,"2, 2, 3, 6, 10, 7"
3805,Polar Bear,,,Chefs Hat,Eyepatch,#7904,#0071,14,10,11,9,14,18,Thief,Water,Swamp,6,47,22,"4, 5, 2, 1, 3, 4"
3806,Pig,Green Dress,,,Monocle,#3880,#0882,11,17,12,12,14,17,Warrior,Earth,Plains,47,63,11,"2, 6, 7, 2, 3, 20"
3807,Lion,Suit,,Purple Top Hat,Eyepatch,#2931,#3399,15,16,13,13,13,11,Warrior,Earth,Island,71,39,55,"1, 2, 4, 5, 10, 9"
3808,Cardinal,,,Straw Hat,3D Glasses,#6143,#1152,15,15,9,15,12,12,Thief,Water,Island,96,52,16,"1, 3, 6, 2, 11, 16"
3809,Dog,,,Green Bow,,#4881,#6210,13,13,11,15,11,11,Mage,Earth,Forest,40,54,2,"4, 3, 6, 1, 9, 3"
3810,Brown Dog,Green Tee,,Top Hat,,#8259,#4520,12,15,15,13,15,10,Thief,Fire,Plains,95,49,3,"2, 6, 6, 6, 11, 3"
3811,Elephant,Blue Track Jacket,,Construction Helmet,,#0973,#4087,12,17,14,11,13,15,Mage,Water,Swamp,62,50,38,"4, 5, 7, 4, 7, 10"
3812,Purple Monkey,,Gold Chain,,,#8780,#5107,10,14,18,10,9,13,Thief,Earth,Plains,4,54,13,"1, 4, 4, 7, 2, 16"
3813,Brown Dog,Green Dress,,Viking Helmet,,#1136,#0830,13,11,13,12,16,15,Mage,Fire,Forest,100,69,42,"4, 2, 8, 9, 5, 3"
3814,Monkey,,,Witches Hat,Eyepatch,#4457,#9451,17,12,15,10,12,13,Thief,Fire,Forest,23,43,5,"2, 2, 2, 9, 1, 19"
3815,Penguin,,,Ribbon,Eyepatch,#6535,#0137,15,9,10,18,16,9,Mage,Air,Forest,44,49,21,"2, 4, 2, 7, 9, 13"
3816,Brown Dog,White Tank,Bow Tie,Brown Hat,Little Glasses,#1046,#0368,12,10,12,13,16,9,Thief,Earth,Plains,44,55,2,"1, 4, 4, 10, 12, 13"
3817,Black Bear,Blue Tee,,Purple Top Hat,,#1335,#5188,15,12,5,16,16,15,Thief,Water,Island,45,69,7,"4, 5, 1, 1, 9, 2"
3818,Siberian Tiger,Scarf and Sweater,,,,#6275,#9477,10,7,11,16,11,9,Thief,Fire,Mountain,68,58,19,"2, 4, 5, 9, 3, 1"
3819,Purple Cat,White Jacket,,Viking Helmet,Eyepatch,#7813,#1196,10,13,11,13,13,13,Thief,Earth,Forest,99,39,12,"3, 1, 2, 3, 7, 7"
3820,Elephant,Suit,,Top Hat,,#3544,#4786,6,13,11,13,9,11,Warrior,Air,Swamp,8,56,4,"1, 4, 6, 10, 3, 18"
3821,Green Cat,White Jacket,,Straw Hat,,#5919,#3372,9,11,15,17,16,13,Mage,Fire,Mountain,80,41,7,"1, 3, 5, 9, 8, 4"
3822,Black Bear,Blue Tee,,Blue Party Hat,,#6958,#1347,16,13,15,14,13,10,Warrior,Earth,Plains,70,56,1,"4, 5, 7, 6, 5, 1"
3823,Green Cat,Suit,,Blue Bow,,#3871,#6015,12,18,8,12,15,13,Thief,Air,Forest,51,56,14,"1, 3, 4, 9, 7, 16"
3824,Rhino,Blue Tee,,Blue Beanie,,#6715,#8117,12,15,16,18,17,12,Warrior,Air,Swamp,63,44,15,"1, 1, 3, 6, 2, 2"
3825,Sheep,,,Red Party Hat,,#4769,#5448,9,7,15,11,12,13,Warrior,Earth,Mountain,56,56,48,"2, 5, 7, 8, 10, 2"
3826,Rhino,Overalls,,Straw Hat,Pink Goggles,#6504,#2952,16,13,15,15,16,4,Warrior,Water,Forest,23,57,6,"2, 3, 2, 5, 3, 18"
3827,Rhino,White Tank,,Brown Hat,,#1100,#0151,10,17,16,12,12,13,Warrior,Air,Mountain,50,62,18,"4, 4, 7, 7, 6, 13"
3828,Purple Cat,Blue Track Jacket,,Purple Top Hat,,#3647,#0038,12,12,15,14,12,13,Warrior,Fire,Plains,74,45,12,"3, 5, 6, 7, 1, 2"
3829,Green Hair Lion,White Shirt,Gold Chain,,Eyepatch,#2801,#0410,15,14,15,16,12,10,Thief,Earth,Plains,5,64,7,"1, 2, 5, 2, 5, 7"
3830,Elephant,,,Brown Hat,,#5302,#2970,13,11,14,13,11,10,Thief,Earth,Swamp,5,48,2,"2, 1, 8, 4, 8, 12"
3831,Turtle,White Jacket,,Blue Bow,,#6178,#6964,14,14,12,8,13,13,Warrior,Earth,Mountain,95,45,46,"2, 3, 6, 6, 3, 3"
3832,Blue Cat,Blue Tee,,Brown Hat,Eyepatch,#1037,#9666,15,15,14,11,14,14,Warrior,Earth,Plains,9,52,5,"4, 6, 8, 2, 6, 18"
3833,Dog,Overalls,,Ribbon,Eyepatch,#2104,#3918,17,14,6,14,15,12,Warrior,Air,Plains,14,50,36,"1, 4, 4, 1, 2, 1"
3834,Sheep,White Tank,,Chefs Hat,Eyepatch,#8181,#1737,14,13,9,12,9,13,Mage,Water,Island,58,46,6,"2, 6, 5, 1, 3, 13"
3835,Golden Bear,Black Jacket,,Top Hat,Monocle,#1319,#4523,15,14,13,15,12,10,Mage,Water,Mountain,36,57,18,"1, 2, 8, 10, 10, 15"
3836,Dog,Red Track Jacket,,Wizard Hat,,#4161,#1345,17,13,16,18,12,15,Mage,Air,Mountain,63,51,20,"1, 5, 5, 9, 10, 6"
3837,Siberian Tiger,,,Purple Top Hat,,#8181,#7462,14,10,12,11,11,11,Warrior,Air,Island,4,45,22,"1, 4, 6, 9, 10, 11"
3838,Monkey,,Bow Tie,Ribbon,,#4015,#6165,12,12,15,8,15,12,Warrior,Water,Forest,40,58,1,"4, 3, 2, 3, 4, 11"
3839,Monkey,,Gold Chain,Blue Party Hat,Pink Goggles,#5302,#9048,9,12,7,17,10,13,Warrior,Fire,Plains,14,52,15,"2, 5, 6, 2, 7, 4"
3840,Monkey,White Shirt,Gold Chain,Viking Helmet,Sunglasses,#9690,#5616,8,11,11,13,12,14,Thief,Earth,Mountain,38,54,18,"1, 4, 1, 8, 2, 2"
3841,Rabbit,Overalls,,Green Party Hat,,#9209,#9696,11,11,13,12,14,15,Mage,Water,Island,5,51,14,"2, 2, 7, 10, 6, 19"
3842,Brown Dog,Green Dress,,,Sunglasses,#9035,#6071,11,12,10,13,13,17,Mage,Water,Island,15,59,15,"3, 5, 3, 1, 12, 3"
3843,Tiger,Bee Costume,,,,#7993,#5344,10,11,13,15,10,15,Thief,Fire,Island,1,55,1,"4, 1, 6, 5, 2, 7"
3844,Rhino,,,Straw Hat,Eyepatch,#3990,#3639,15,16,14,12,16,15,Thief,Fire,Mountain,26,55,8,"1, 4, 2, 9, 2, 5"
3845,Dog,Brown Robe,,,Eyepatch,#9509,#4891,14,7,11,8,15,10,Mage,Earth,Swamp,66,54,10,"1, 4, 8, 1, 8, 4"
3846,Brown Dog,Blazer Tee,,Brown Hat,,#5998,#7685,13,13,8,14,12,13,Thief,Water,Island,55,40,11,"3, 6, 6, 7, 10, 2"
3847,Rhino,,Bow Tie,Straw Hat,,#9126,#0047,8,16,10,15,15,8,Mage,Water,Swamp,22,44,3,"2, 6, 3, 9, 1, 7"
3848,Bear,Blue Tee,Gold Chain,Pink Fairy Hat,,#5879,#3299,11,13,10,12,18,16,Mage,Water,Island,60,52,1,"2, 2, 3, 1, 2, 9"
3849,Polar Bear,Suit,,Chefs Hat,,#2428,#6612,12,13,16,12,15,10,Mage,Earth,Forest,93,54,69,"4, 6, 6, 4, 5, 15"
3850,Hippo,Red Tee,Bow Tie,,Pink Goggles,#5273,#6696,15,11,10,11,12,8,Thief,Air,Plains,11,47,30,"4, 5, 4, 2, 12, 12"
3851,Monkey,Brown Robe,,Straw Hat,Eyepatch,#8141,#9502,14,9,16,9,9,8,Thief,Air,Swamp,15,45,1,"4, 4, 2, 10, 6, 11"
3852,Pig,Brown Robe,,Top Hat,,#4487,#6543,13,16,13,12,13,13,Warrior,Air,Swamp,31,50,2,"3, 1, 7, 5, 6, 12"
3853,Purple Monkey,Green Dress,,Viking Helmet,,#3350,#6162,12,9,11,12,13,9,Mage,Air,Plains,58,36,9,"3, 2, 7, 9, 8, 14"
3854,Sheep,White Tank,,Red Party Hat,Pink Goggles,#5396,#0572,14,17,9,10,15,9,Thief,Water,Swamp,81,39,9,"3, 6, 8, 7, 4, 20"
3855,Lion,Blue Track Jacket,,Ribbon,,#8830,#9213,10,15,16,13,13,8,Thief,Fire,Forest,58,52,8,"1, 5, 7, 5, 3, 13"
3856,Rabbit,Green Dress,,,,#3187,#8782,10,11,14,12,13,15,Warrior,Fire,Forest,19,47,4,"4, 2, 8, 3, 12, 20"
3857,Hippo,Pink Dress,,Pink Fairy Hat,,#0122,#4419,12,15,16,10,13,14,Mage,Fire,Plains,56,36,11,"2, 5, 1, 7, 9, 4"
3858,Purple Cat,Overalls,,Green Bow,,#3499,#6200,15,11,7,13,7,16,Mage,Air,Island,53,51,1,"4, 6, 1, 9, 2, 14"
3859,Bear,Puffy Jacket,,,,#6818,#3757,14,12,15,15,12,10,Mage,Fire,Forest,53,49,22,"1, 2, 5, 5, 5, 10"
3860,Bear,Suit,,,,#1254,#2432,8,13,9,14,10,6,Warrior,Water,Island,35,67,2,"2, 5, 5, 5, 11, 5"
3861,Panda,Black Jacket,,Brown Hat,,#8331,#8226,14,13,16,11,10,14,Mage,Fire,Swamp,85,55,1,"1, 5, 1, 1, 12, 4"
3862,Bear,Pink Dress,,Straw Hat,,#4070,#4130,9,13,14,11,11,11,Thief,Earth,Plains,23,43,9,"2, 6, 3, 6, 12, 9"
3863,Monkey,White Tank,,Purple Top Hat,,#7415,#1030,6,12,17,14,15,9,Thief,Earth,Plains,25,56,2,"3, 6, 7, 2, 3, 3"
3864,Dog,,,Witches Hat,,#5063,#5846,14,16,12,14,16,11,Mage,Water,Mountain,21,49,9,"4, 5, 3, 2, 7, 15"
3865,Black Sheep,,,Crown,Monocle,#7389,#6424,10,11,14,17,11,15,Mage,Water,Swamp,40,81,5,"4, 4, 2, 2, 6, 11"
3866,Seagull,,,Ribbon,Steampunk Goggles,#3424,#5005,12,8,14,10,12,13,Warrior,Earth,Forest,73,43,10,"2, 2, 6, 7, 9, 16"
3867,Bear,Blazer Tee,,Ribbon,,#4801,#0280,16,8,14,15,13,10,Warrior,Earth,Island,73,55,21,"1, 3, 1, 6, 5, 1"
3868,Blue Cat,Blue Track Jacket,,,,#0455,#6820,11,17,15,12,12,13,Warrior,Fire,Mountain,95,59,4,"2, 4, 3, 7, 8, 5"
3869,Rhino,Brown Robe,,Top Hat,,#4352,#4131,15,14,12,15,8,12,Warrior,Earth,Forest,2,50,21,"1, 6, 8, 1, 4, 12"
3870,Polar Bear,Marching Band,,Chefs Hat,,#2758,#6292,9,15,7,16,11,12,Warrior,Earth,Swamp,11,62,14,"1, 2, 1, 9, 6, 11"
3871,Rabbit,Toga,,Blue Party Hat,,#3823,#7550,11,16,12,11,15,15,Warrior,Fire,Forest,84,46,3,"4, 4, 7, 7, 5, 14"
3872,Purple Cat,Toga,,Pink Fairy Hat,,#7767,#9397,11,9,13,11,16,9,Warrior,Water,Swamp,19,50,35,"1, 5, 8, 2, 6, 13"
3873,Black Sheep,Overalls,,Red Party Hat,Pink Goggles,#4018,#2151,12,17,9,10,13,13,Warrior,Water,Island,68,52,4,"2, 4, 8, 2, 8, 8"
3874,Siberian Tiger,Pink Dress,,Pink Fairy Hat,,#1379,#8545,12,10,13,12,14,17,Mage,Earth,Plains,80,56,4,"2, 6, 7, 6, 3, 14"
3875,Black Bear,Blue Tee,,,,#5398,#5092,9,16,8,15,10,9,Thief,Earth,Plains,20,35,4,"2, 6, 4, 5, 3, 6"
3876,Pig,Blue Tee,,Green Bow,Monocle,#7173,#5714,16,11,15,12,15,16,Mage,Water,Forest,65,61,15,"4, 1, 6, 3, 2, 8"
3877,Green Hair Lion,,Gold Chain,Brown Hat,,#7824,#9415,14,9,16,12,13,10,Warrior,Fire,Mountain,27,63,7,"2, 6, 1, 3, 5, 7"
3878,Black Bear,Flannel,,Viking Helmet,Pink Goggles,#5020,#8044,8,15,11,9,7,12,Thief,Water,Mountain,47,36,22,"2, 2, 4, 5, 8, 3"
3879,Golden Bear,Brown Robe,,Blue Beanie,,#9368,#1853,9,15,9,14,12,12,Warrior,Air,Plains,23,50,3,"1, 5, 2, 9, 2, 15"
3880,Black Sheep,Blue Track Jacket,,Blue Bow,Pink Goggles,#3806,#9234,10,14,18,16,15,12,Mage,Earth,Mountain,10,69,2,"2, 6, 6, 7, 10, 10"
3881,Blue Cat,Black Jacket,,Chefs Hat,,#9536,#2973,13,11,15,12,14,11,Warrior,Water,Island,64,72,4,"1, 4, 6, 3, 4, 1"
3882,Green Hair Lion,Brown Robe,,Pink Fairy Hat,,#1175,#5620,14,8,9,6,10,13,Mage,Earth,Forest,15,49,59,"3, 6, 1, 8, 12, 12"
3883,Pink Bear,White Tee,,Viking Helmet,Pink Goggles,#9600,#6606,16,10,10,6,14,14,Mage,Fire,Mountain,44,37,5,"4, 2, 8, 5, 1, 5"
3884,Sheep,Suit,,Chefs Hat,,#5888,#2740,17,13,11,12,13,15,Mage,Air,Mountain,31,39,1,"3, 3, 2, 6, 5, 8"
3885,Green Cat,Toga,,Green Top Hat,Pink Goggles,#5083,#5216,14,16,13,14,14,13,Mage,Water,Plains,54,37,13,"1, 6, 2, 5, 4, 19"
3886,Tiger,Suit,,Ribbon,,#2605,#7783,12,5,15,13,18,16,Warrior,Fire,Swamp,81,45,10,"4, 4, 1, 5, 11, 13"
3887,Purple Cat,Green Dress,,Pink Fairy Hat,,#8122,#8541,14,17,14,12,11,11,Warrior,Air,Swamp,11,60,32,"2, 6, 3, 6, 6, 16"
3888,Monkey,Red Tank,,Brown Hat,,#1656,#5775,16,15,12,10,15,13,Warrior,Air,Plains,4,47,21,"1, 5, 8, 10, 1, 17"
3889,Fox,Suit,,Straw Hat,Sunglasses,#2997,#2313,12,16,11,18,13,11,Warrior,Water,Forest,84,64,2,"3, 2, 7, 4, 6, 18"
3890,Brown Dog,Toga,,Purple Top Hat,,#0287,#2031,11,10,13,10,14,10,Warrior,Earth,Island,53,46,13,"1, 1, 8, 5, 4, 9"
3891,Crow,,,Blue Beanie,Eyepatch,#4626,#6188,12,13,8,10,14,13,Mage,Air,Mountain,15,53,21,"1, 3, 2, 4, 4, 7"
3892,Brown Dog,Red Tee,Bow Tie,Pink Fairy Hat,,#7376,#7931,10,11,12,17,17,15,Mage,Earth,Forest,73,62,7,"1, 4, 4, 9, 6, 5"
3893,Brown Dog,White Shirt,,Purple Top Hat,,#6169,#4017,8,14,11,12,9,13,Thief,Water,Mountain,28,52,9,"1, 1, 6, 6, 4, 17"
3894,Hippo,Red Tee,,Green Party Hat,,#6873,#8751,12,10,11,10,13,10,Mage,Earth,Plains,48,30,7,"1, 3, 2, 3, 8, 20"
3895,Snek,,,Crown,,#5936,#8126,12,12,14,12,13,16,Mage,Water,Island,34,63,1,"4, 3, 8, 2, 11, 6"
3896,Dog,Green Tee,,Construction Helmet,Eyepatch,#1492,#5819,12,16,14,12,11,12,Mage,Fire,Forest,82,47,1,"1, 5, 8, 1, 6, 13"
3897,Dog,Blue Tank,Bow Tie,Purple Top Hat,Pink Goggles,#1901,#4989,13,7,16,13,13,11,Warrior,Fire,Plains,65,50,5,"1, 4, 4, 8, 12, 20"
3898,Dog,Blue Tank,Gold Chain,Ribbon,,#5109,#2416,18,11,14,9,12,14,Warrior,Water,Swamp,91,61,2,"2, 5, 1, 5, 3, 9"
3899,Bear,White Tee,Bow Tie,Chefs Hat,Eyepatch,#4585,#8082,13,11,15,15,11,13,Mage,Fire,Island,56,36,1,"2, 1, 7, 8, 9, 10"
3900,Snek,,,Leaf Crown,Purple Hero Mask,#2331,#7262,11,12,14,11,14,15,Thief,Fire,Plains,62,59,10,"3, 3, 1, 10, 11, 8"
3901,Blue Cat,Black Jacket,,Pink Cowboy Hat,,#9376,#4402,11,14,12,7,15,12,Mage,Water,Mountain,52,40,3,"1, 1, 1, 1, 12, 5"
3902,Purple Monkey,White Tank,,Construction Helmet,,#8979,#4727,13,14,11,13,12,7,Thief,Fire,Swamp,33,37,3,"3, 1, 4, 1, 3, 11"
3903,Dog,Green Tee,Bow Tie,Wizard Hat,,#5532,#0838,11,13,8,11,16,13,Warrior,Water,Swamp,35,51,11,"1, 6, 1, 2, 12, 6"
3904,Polar Bear,Blue Tee,,Crown,Eyepatch,#2506,#0379,9,7,11,10,13,11,Warrior,Air,Forest,45,43,11,"1, 4, 2, 9, 3, 6"
3905,Fox,White Jacket,,Blue Party Hat,,#9836,#2759,14,16,9,8,11,13,Thief,Earth,Island,29,40,8,"1, 3, 2, 5, 9, 1"
3906,Fox,Blue Track Jacket,,Brown Hat,Pink Goggles,#9625,#4907,12,10,11,15,12,13,Warrior,Water,Swamp,17,48,11,"1, 4, 6, 6, 5, 6"
3907,Elephant,Blue Tee,,Top Hat,,#3659,#8967,12,10,17,12,14,16,Warrior,Air,Forest,39,35,32,"1, 3, 3, 8, 6, 18"
3908,Rabbit,,,Blue Bow,Green Hero Mask,#7503,#9272,13,13,15,10,10,13,Mage,Water,Plains,34,49,3,"3, 5, 5, 8, 3, 15"
3909,Tiger,Black Hoodie,,Chefs Hat,,#6462,#7850,11,13,15,15,18,11,Warrior,Water,Forest,33,52,32,"3, 3, 2, 1, 1, 14"
3910,Pink Bear,White Tee,Bow Tie,Leaf Crown,,#3160,#1144,17,13,13,14,11,11,Thief,Air,Forest,58,54,24,"1, 3, 1, 7, 8, 7"
3911,Panda,Green Tee,,Straw Hat,Eyepatch,#2651,#4187,10,14,15,17,9,15,Warrior,Earth,Island,37,72,1,"3, 4, 3, 4, 7, 3"
3912,Rabbit,White Tank,,,Pink Goggles,#5849,#1656,13,13,14,12,16,9,Warrior,Air,Plains,14,54,1,"2, 6, 8, 5, 6, 18"
3913,Blue Cat,Blue Tee,Bow Tie,Green Bow,Eyepatch,#0717,#4029,8,11,13,17,15,8,Mage,Earth,Swamp,7,53,19,"3, 5, 5, 5, 10, 13"
3914,Purple Dragon,White Shirt,,,,#1309,#8074,13,11,12,9,13,11,Mage,Earth,Mountain,46,36,5,"1, 1, 2, 9, 3, 6"
3915,Siberian Tiger,Red Track Jacket,,,Monocle,#1119,#5886,15,13,13,15,8,10,Warrior,Water,Swamp,17,54,12,"1, 4, 3, 7, 9, 1"
3916,Black Sheep,Green Dress,,Pink Cowboy Hat,,#3632,#2029,12,14,7,15,11,12,Thief,Water,Mountain,78,50,1,"1, 5, 6, 8, 10, 7"
3917,Polar Bear,Blazer Tee,,,,#5348,#2755,9,14,10,5,10,12,Mage,Water,Forest,75,33,1,"1, 3, 5, 9, 9, 10"
3918,Pink Bear,White Shirt,,Witches Hat,Purple Hero Mask,#3761,#3833,9,10,11,14,14,16,Warrior,Water,Plains,10,70,4,"3, 3, 5, 1, 4, 5"
3919,Dragon,Toga,,Straw Hat,,#0849,#7192,10,12,13,5,13,10,Thief,Air,Forest,2,49,15,"3, 5, 7, 2, 7, 9"
3920,Green Cat,Brown Robe,,Green Party Hat,Pink Goggles,#8342,#4350,11,16,11,13,12,10,Mage,Water,Forest,49,33,4,"1, 5, 1, 6, 1, 12"
3921,Black Bear,White Tee,,Straw Hat,,#5404,#1349,12,10,13,9,12,14,Warrior,Water,Swamp,70,58,12,"4, 2, 6, 5, 10, 3"
3922,Bear,Scarf and Sweater,,Brown Hat,,#7752,#9691,10,13,11,9,18,14,Warrior,Air,Mountain,64,45,15,"2, 4, 4, 6, 9, 20"
3923,Blue Cat,Royal Coat,,Green Bow,Eyepatch,#8506,#5056,14,13,9,13,17,12,Thief,Fire,Plains,78,56,7,"4, 4, 7, 4, 8, 18"
3924,Tiger,Brown Jacket,,Ribbon,,#8383,#9004,12,13,8,11,12,9,Thief,Earth,Plains,60,39,9,"3, 2, 2, 1, 11, 13"
3925,Rhino,White Tank,Bow Tie,Blue Bow,,#8594,#1221,14,7,12,15,18,12,Mage,Water,Island,3,39,3,"4, 1, 5, 9, 4, 1"
3926,Green Cat,Blue Tee,,Yellow Bow,,#3189,#8969,10,12,10,10,7,11,Thief,Water,Plains,36,38,11,"4, 5, 7, 9, 3, 20"
3927,Fox,Green Dress,,Halo,,#4590,#3171,9,15,15,10,10,6,Warrior,Fire,Forest,61,50,10,"4, 3, 8, 2, 9, 13"
3928,Oni,,,,,#6186,#2509,11,15,11,12,11,14,Warrior,Fire,Island,84,44,28,"3, 5, 8, 7, 7, 9"
3929,Purple Dragon,Red Tank,,Witches Hat,,#1425,#5320,9,15,18,14,15,10,Mage,Air,Plains,77,46,20,"3, 3, 6, 1, 4, 17"
3930,Elephant,Toga,,,,#8415,#6363,11,14,16,14,10,11,Mage,Water,Mountain,29,25,7,"1, 5, 2, 7, 5, 8"
3931,Tiger,Brown Jacket,,Pink Fairy Hat,,#4008,#1794,16,18,11,12,11,14,Warrior,Air,Plains,47,58,19,"2, 3, 5, 9, 7, 9"
3932,Turtle,Pink Dress,,Top Hat,,#2763,#5009,14,13,15,10,14,11,Thief,Fire,Plains,54,61,20,"4, 5, 7, 4, 5, 12"
3933,Elephant,White Jacket,,Halo and Wings,,#3506,#8339,13,13,12,7,12,9,Thief,Water,Mountain,49,55,4,"3, 5, 7, 4, 7, 12"
3934,Panda,,,Red Party Hat,,#4969,#5332,15,14,15,9,12,13,Warrior,Air,Island,94,60,13,"3, 2, 6, 2, 12, 15"
3935,Black Bear,Red Tee,Gold Chain,,,#1582,#8005,11,16,11,10,16,14,Thief,Fire,Island,26,64,20,"1, 1, 6, 4, 1, 19"
